closure_item_id,phase,layer,authority_source,expected_product_or_obligation,producer,consumer,expected_artifact,actual_artifact,scientific_role,analysis_role,claim_role,evidence_map_role,layer10_role,downstream_role,status,defect_if_any,correction_required
C011,P02,L2,Protocol amendment history,Stage 11/12 correction lineage,P02 L2,Analysis/L0/EM,execution/runtime/analysis_inputs/training_policy_challenger_completion.json,execution/runtime/analysis_inputs/training_policy_challenger_completion.json,methodological evidence,diagnostic+accepted history,bounded methodological claim,provenance chain,correction figure/table,reproduction,COMPLETE,,
C012,P02,L2,Protocol,Stage18S post-hoc sensitivity,P02 L2,Analysis/L0/EM/L10,execution/runtime/analysis_inputs/stage18S_R1_decision_support_summary.json,execution/runtime/analysis_inputs/stage18S_R1_decision_support_summary.json,post-hoc sensitivity,descriptive only,post-hoc only,supplement map,limitation-aware view,future design,COMPLETE,,
C013,P02,L2,Protocol,Failure/negative/diagnostic evidence,P02 L2,Analysis/L0/EM/L10,execution/runtime/analysis_inputs/failure_negative_summary.json,execution/runtime/analysis_inputs/failure_negative_summary.json,negative evidence,failure analysis,negative claim boundary,negative nodes,negative displays,consumer warning,COMPLETE,,
C014,P02,L2,Build Book,Frozen record schemas,P02 L2,P03+,execution/implementation/contracts/record_schema_freeze.yaml,execution/implementation/contracts/record_schema_freeze.yaml,schema authority,support,non-claim,artifact schema,source schema,loader contract,COMPLETE,,
C015,P02,L2,Stage20/22/23/24,Consumer/documentary/export closure,P02,P03+,execution/runtime/manifests/stage_artifacts,execution/runtime/manifests/stage_artifacts,readiness/export,support,non-claim,provenance,source support,fresh-session intake,COMPLETE,,
C016,P02,external,Protocol external contract,Heavy-artifact immutable retrieval,P02,P03-P15/reproduction,authorities/protocol_v1/protocol_v1_0/machine_readable/external_artifact_access_contract.yaml,authorities/protocol_v1/protocol_v1_0/machine_readable/external_artifact_access_contract.yaml,storage provenance,support,non-claim,artifact pointer,source pointer,heavy retrieval,COMPLETE,,
C017,P00-P02,handoff,Current closure prompt,Producer-consumer handoff contract,Closure,P03+,handoff/downstream_readiness.yaml,handoff/downstream_readiness.yaml,handoff,support,claim limits carried,links,warnings,primary downstream index,COMPLETE_AFTER_CORRECTION,Prior packages lacked one final unified whole-phase consumer index,Created canonical downstream readiness and producer-consumer artifacts
C018,P00-P02,LAYER0,Governance V6.1 + prior package convention + current downstream prompt,Human-readable current claim governance,Layer0,EvidenceMap,layer0/Layer_0_Claim_Governance_Through_P02.md,layer0/Layer_0_Claim_Governance_Through_P02.md,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C019,P00-P02,LAYER0,Governance V6.1 + prior package convention + current downstream prompt,Reviewed disposition register,Layer0,EvidenceMap,layer0/claim_dispositions.yaml,layer0/claim_dispositions.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C020,P00-P02,LAYER0,Governance V6.1 + prior package convention + current downstream prompt,Claim scope/boundary register,Layer0,EvidenceMap/Layer10,layer0/claim_boundaries.yaml,layer0/claim_boundaries.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C021,P00-P02,LAYER0,Governance V6.1 + prior package convention + current downstream prompt,Governed claim-to-finding handoff,Layer0,EvidenceMap,layer0/claim_evidence_handoff.yaml,layer0/claim_evidence_handoff.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C022,P00-P02,LAYER0,Governance V6.1 + prior package convention + current downstream prompt,Unsafe stronger wording register,Layer0,EvidenceMap/Layer10,layer0/prohibited_stronger_wording.yaml,layer0/prohibited_stronger_wording.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C023,P00-P02,LAYER0,Governance V6.1 + prior package convention + current downstream prompt,Limitation-to-claim mapping,Layer0,EvidenceMap/Layer10,layer0/limitation_claim_map.yaml,layer0/limitation_claim_map.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C024,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Primary human-readable provenance map,EvidenceMap,Layer10/Paper,evidence_map/IHARQ_Cumulative_Evidence_Map_Through_P02.md,evidence_map/IHARQ_Cumulative_Evidence_Map_Through_P02.md,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C025,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Structured provenance graph,EvidenceMap,Layer10/Paper,evidence_map/evidence_map.yaml,evidence_map/evidence_map.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C026,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Claim-centric mapping,EvidenceMap,Layer10,evidence_map/claims.yaml,evidence_map/claims.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C027,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Finding-centric mapping,EvidenceMap,Layer10/Paper,evidence_map/findings.yaml,evidence_map/findings.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C028,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Limitation graph,EvidenceMap,Layer10/Layer0,evidence_map/limitations.yaml,evidence_map/limitations.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C029,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Metric/statistic/source evidence nodes,EvidenceMap,Layer10/Reproduction,evidence_map/evidence_nodes.yaml,evidence_map/evidence_nodes.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C030,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Artifact provenance registry,EvidenceMap,Reproduction,evidence_map/artifact_registry.yaml,evidence_map/artifact_registry.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C031,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Cross-phase/provenance relationships,EvidenceMap,Layer10/Paper,evidence_map/relationships.yaml,evidence_map/relationships.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C032,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,External literature separated from project evidence,EvidenceMap,Layer0/Paper,evidence_map/literature_evidence.yaml,evidence_map/literature_evidence.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C033,P00-P02,EVIDENCE_MAP,Governance V6.1 + prior package convention + current downstream prompt,Two-way figure/table links,EvidenceMap,Layer10,evidence_map/figure_table_provenance.yaml,evidence_map/figure_table_provenance.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C034,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Human-readable Layer10 package report,Layer10,Paper/P03,layer10/Layer_10_Artifact_Package_Through_P02.md,layer10/Layer_10_Artifact_Package_Through_P02.md,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C035,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Claim-safe curated figures,Layer10,Paper/Thesis,layer10/figures/,layer10/figures/,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C036,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Exact governed tables,Layer10,Paper/Thesis,layer10/tables/,layer10/tables/,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C037,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Machine-readable figure sources,Layer10,Reproduction,layer10/figure_source_data/,layer10/figure_source_data/,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C038,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Machine-readable table sources,Layer10,Reproduction,layer10/table_source_data/,layer10/table_source_data/,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C039,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Deterministic render specifications,Layer10,Reproduction,layer10/render_specs/,layer10/render_specs/,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C040,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Deterministic render script,Layer10,Reproduction,layer10/scripts/render_layer10.py,layer10/scripts/render_layer10.py,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C041,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Layer0-safe captions/warnings,Layer10,Paper/Thesis,layer10/captions/captions.yaml,layer10/captions/captions.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
C042,P00-P02,LAYER10,Governance V6.1 + prior package convention + current downstream prompt,Current artifact registry,Layer10,EvidenceMap/Reproduction,layer10/manifests/layer10_artifact_registry.yaml,layer10/manifests/layer10_artifact_registry.yaml,downstream governance artifact,support,governed,mapped,render/support,downstream,INHERITED_UNCHANGED,,
