artifact_id,producer_phase,producer_layer,artifact_type,canonical_location,schema,status,immediate_consumer,later_consumers,required_or_optional,availability,integrity,limitations,ready
P02-RUN-FREEZE-CONFIG,P02,L2,Run/config/freeze identity,authorities/protocol_v1/IHARQ_Protocol_v1_0_Final_Through_Phase_02_R1.md,Protocol v1 cumulative,CURRENT_CANONICAL,P03 intake,reproduction/audit,REQUIRED,LOCAL,run/config/freeze identities parity checked,recorded environment/config scope,YES
P02-ANALYSIS-CONTRACT,P02,L2,Frozen 38-input Phase Analysis contract,authorities/protocol_v1/protocol_v1_0/machine_readable/analysis_contract.yaml,Cumulative Protocol analysis contract,CURRENT_CANONICAL,reproduction,Paper/EvidenceMap,REQUIRED,LOCAL,38 canonical P02 analysis inputs verified in prior finalization,analysis-only; no new confirmatory tests,YES
P02-PREFERRED-WORKSPACE,P02,L2,Preferred full P02 workspace snapshot,handoff/external_artifact_retrieval.yaml,HF immutable dataset revision,CURRENT_CANONICAL,P03,P04-P15/reproduction,REQUIRED_FOR_HEAVY_BYTES,PRIVATE_EXTERNAL,"manifest + per-object index + 17,089 runtime entries reconciled; 0 unmatched",requires symbolic IHARQ_HF_TOKEN_P02; live remote not claimed,YES
P02-ARCHIVAL-RELEASE,P02,L2,Archival/chunked P02 release,handoff/external_artifact_retrieval.yaml,HF immutable archival revision,CURRENT_CANONICAL,reproduction/archive,P03-P15 fallback,FALLBACK,PRIVATE_EXTERNAL,10 uploaded object paths/sizes/SHA recorded,fallback; preferred workspace remains direct continuation source,YES
P01-UPSTREAM-DATA,P01,L1,Inherited P01 dataset/split/preprocessing/window identities,authorities/protocol_v1/protocol_v1_0/machine_readable/external_artifact_access_contract.yaml,P01 frozen identities,CURRENT_CANONICAL,P03 via P02 lineage,P04-P15,REQUIRED_UPSTREAM,PRIVATE_EXTERNAL_POINTERS,immutable P01 pointers/manifests preserved,requires predecessor access route; no silent relabel/split/window mutation,YES
P00-P02-PROTOCOL,P00-P02,project,Cumulative Protocol v1.0,authorities/protocol_v1/IHARQ_Protocol_v1_0_Final_Through_Phase_02_R1.md,IHARQ-PROTOCOL-V1-CUMULATIVE-THROUGH-P02-R1,CURRENT_CANONICAL,P03 intake,all downstream governance/reproduction,REQUIRED,LOCAL,source finalization validation preserved,phase-specific historical rules remain scoped,YES
P00-P02-ANALYSIS,P00-P02,project,Cumulative Phase Analysis,analysis/IHARQ_Cumulative_Phase_Evidence_Results_and_Interpretation_Through_P02_Final_R1.md,IHARQ-CUMULATIVE-PHASE-ANALYSIS-THROUGH-P02-FINAL-R1,CURRENT_CANONICAL,P03 context,Layer0/EvidenceMap/Paper,REQUIRED_CONTEXT,LOCAL,235/235 cumulative pre-PDF checks + P02 431/431 source semantic checks,scientific limitations carried,YES
P00-P02-LAYER0,P00-P02,L0,Cumulative Layer0 governance,layer0/Layer_0_Claim_Governance_Through_P02.md,IHARQ-CUMULATIVE-LAYER0-THROUGH-P02-R1,CURRENT_CANONICAL,EvidenceMap/Layer10,Paper/P03 context,REQUIRED_GOVERNANCE,LOCAL,37 governed claims; historical decisions preserved,claims remain bounded by Layer0,YES
P00-P02-EVIDMAP,P00-P02,EvidenceMap,Cumulative Evidence Map,evidence_map/evidence_map.yaml,IHARQ-CUMULATIVE-EVIDENCE-MAP-THROUGH-P02-R1,CURRENT_CANONICAL,Layer10/P03 provenance,Paper/reproduction,REQUIRED_PROVENANCE,LOCAL,37 claims / 49 findings / 69 evidence nodes / 47 artifacts / 146 relationships,external literature separated from project evidence,YES
P00-P02-LAYER10,P00-P02,L10,Cumulative Layer10 package,layer10/Layer_10_Artifact_Package_Through_P02.md,Layer10 cumulative R1,CURRENT_CANONICAL,Paper/Thesis,later communication,REQUIRED_PRESENTATION,LOCAL,14 figures + 13 supporting tables with source provenance,read-only science; claim-safe captions,YES
P02-STAGE20-24,P02,L2,Readiness/handoff/evidence/export gates and underlying artifacts,execution/runtime/manifests/stage_artifacts,runtime stage artifacts,CURRENT_CANONICAL,P03/reproduction,all downstream consumers,REQUIRED_CLOSURE_SUPPORT,LOCAL,Stage20/22/23/24 PASS; underlying readiness/contract/manifest artifacts included,"gate PASS is supporting evidence, not sole basis",YES
