trace_id,method,method_selection_status,nuts_and_bolts_behavior,module,implementation,config,run_cells,outputs,tests,status
METHOD-A4-C2-MULTI-HARD-VOTE,multi-window hard vote,P02_A4_REQUIRED_CONDITION,exact P01 A4 R2 substrate; parent-matched ordinary control; fixed aggregation and anti-leakage rules,L2-M06,ensemble comparison builder,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,EnsembleControlRecord; matched comparison/metric/figure/table source data,T-ENS-01; T-A4-01; T-A4-FULL-02,MAPPED
METHOD-A4-C3-MULTI-PROB-AVG,multi-window probability average,P02_A4_REQUIRED_CONDITION,exact P01 A4 R2 substrate; parent-matched ordinary control; fixed aggregation and anti-leakage rules,L2-M06,ensemble comparison builder,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,EnsembleControlRecord; matched comparison/metric/figure/table source data,T-ENS-01; T-A4-01; T-A4-FULL-02,MAPPED
METHOD-A4-C4-MODEL-HARD-VOTE,ordinary model ensemble hard vote,P02_A4_REQUIRED_CONDITION,exact P01 A4 R2 substrate; parent-matched ordinary control; fixed aggregation and anti-leakage rules,L2-M06,ensemble comparison builder,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,EnsembleControlRecord; matched comparison/metric/figure/table source data,T-ENS-01; T-A4-01; T-A4-FULL-02,MAPPED
METHOD-A4-C5-MODEL-PROB-AVG,ordinary model ensemble probability average,P02_A4_REQUIRED_CONDITION,exact P01 A4 R2 substrate; parent-matched ordinary control; fixed aggregation and anti-leakage rules,L2-M06,ensemble comparison builder,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,EnsembleControlRecord; matched comparison/metric/figure/table source data,T-ENS-01; T-A4-01; T-A4-FULL-02,MAPPED
METHOD-METRIC-BACC,balanced accuracy,PRIMARY,mean per-class recall; claim-ineligible if required true class absent,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-F1_MACRO,macro-F1,REQUIRED_COMPLEMENTARY,"class order left_hand,right_hand; zero_division=0; absent true class=>diagnostic only",L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-ACC,accuracy,REQUIRED_SECONDARY,correct/valid denominator,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-ROC_AUC,binary ROC-AUC,CONDITIONAL,right_hand positive; both true classes and aligned finite continuous score required,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-CONFUSION,confusion matrix,REQUIRED_SOURCE,rows true/columns predicted; canonical class order,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-CLASS_SUPPORT,class support,REQUIRED_SOURCE,valid denominator by class + exclusions/failures,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-PRED_COMPLETE,prediction completeness,REQUIRED_SUPPORT,valid/expected with missing reasons,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-BRANCH_SUCCESS,branch terminal coverage,REQUIRED_SUPPORT,planned/attempted/success/failed/blocked/skipped/invalid,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-METRIC-A4_DELAY,A4 burden,REQUIRED_A4,observation duration/member count/model evals/aggregation + batch1 latency median/P95,L2-M02/L2-M06,metrics + comparison engine,p02_metric_dictionary.yaml,all eligible A0/A4/evaluation cells,BaselineMetricRecord / comparison source tables,T-MET-01,MAPPED
METHOD-STAT-BOOT,"participant-cluster bootstrap 10,000; BCa/percentile fallback",FROZEN_R3_ADOPTED_R4,participant is inferential unit; complete matched support; descriptive fallback where inferential support insufficient,L2-M06,matched comparison/statistics engine,p02_planned_scientific_execution_freeze_R3.yaml,registered matched comparisons,statistical/uncertainty source tables; MatchedComparisonReport owner-routed source,T-A0-FULL-02; T-A4-FULL-02; T-MET-01,MAPPED
METHOD-STAT-WILCOXON,paired Wilcoxon signed-rank,FROZEN_R3_ADOPTED_R4,participant is inferential unit; complete matched support; descriptive fallback where inferential support insufficient,L2-M06,matched comparison/statistics engine,p02_planned_scientific_execution_freeze_R3.yaml,registered matched comparisons,statistical/uncertainty source tables; MatchedComparisonReport owner-routed source,T-A0-FULL-02; T-A4-FULL-02; T-MET-01,MAPPED
METHOD-STAT-FRIEDMAN,Friedman omnibus + predeclared paired Wilcoxon post-hoc,FROZEN_R3_ADOPTED_R4,participant is inferential unit; complete matched support; descriptive fallback where inferential support insufficient,L2-M06,matched comparison/statistics engine,p02_planned_scientific_execution_freeze_R3.yaml,registered matched comparisons,statistical/uncertainty source tables; MatchedComparisonReport owner-routed source,T-A0-FULL-02; T-A4-FULL-02; T-MET-01,MAPPED
METHOD-STAT-HOLM,Holm multiplicity correction,FROZEN_R3_ADOPTED_R4,participant is inferential unit; complete matched support; descriptive fallback where inferential support insufficient,L2-M06,matched comparison/statistics engine,p02_planned_scientific_execution_freeze_R3.yaml,registered matched comparisons,statistical/uncertainty source tables; MatchedComparisonReport owner-routed source,T-A0-FULL-02; T-A4-FULL-02; T-MET-01,MAPPED
