output_id,official_or_local_name,canonical_type_or_profile,governing_sources,producer,consumers,required_format,required_path_or_path_class,required_fields_or_contents,required_status_and_lifecycle,required_validator_or_test,required_manifest_or_hash,required_report_location,observed_path,observed_identity,observed_hash,observed_validation,closure_status,defect_or_limitation_id
OUT-020,Layer 0 final disposition,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/layer0/phase_00/IHARQ_Phase_0_Layer_0_Final_Disposition_Report_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer0/phase_00/IHARQ_Phase_0_Layer_0_Final_Disposition_Report_R2.md,Layer 0 final disposition,c9f0ef892979e1204fd72b42396c4a2f3181f290bea51111a1559c305ea3fc70,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-021,Allowed/prohibited wording catalog,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/layer0/phase_00/IHARQ_Phase_0_Allowed_and_Prohibited_Wording_Catalog_R1.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer0/phase_00/IHARQ_Phase_0_Allowed_and_Prohibited_Wording_Catalog_R1.md,Allowed/prohibited wording catalog,2ca27a8502a935ce186ff841a5e58b9d4de24e37decc7df5411ca4dfdef98b5f,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-022,Claim/limitation/warning register,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/layer0/phase_00/IHARQ_Phase_0_Claim_Limitation_and_Warning_Register_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer0/phase_00/IHARQ_Phase_0_Claim_Limitation_and_Warning_Register_R2.md,Claim/limitation/warning register,937f04e7b1f87ba389a2ad85d0f8150c823760f5b41d003d81de246a33ce525f,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-023,Report correction decision,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/layer0/phase_00/IHARQ_Phase_0_Report_Correction_Decision_R1.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer0/phase_00/IHARQ_Phase_0_Report_Correction_Decision_R1.md,Report correction decision,04d5eeb5cc0939571226f6b1fe8113db3166546f45503ea2e67fbeb157191689,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-024,Evidence Map annex,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/evidence_map/phase_00/IHARQ_Phase_0_Paper_and_Thesis_Evidence_Map_Annex_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/evidence_map/phase_00/IHARQ_Phase_0_Paper_and_Thesis_Evidence_Map_Annex_R2.md,Evidence Map annex,ece1471edf1e117770e7cd3966a61267fd51a726a72630929fd70a1a06a80fd6,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-025,Evidence Map machine matrix,csv,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,csv,reports/evidence_map/phase_00/claim_evidence_matrix.csv,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/evidence_map/phase_00/claim_evidence_matrix.csv,Evidence Map machine matrix,c826b1d2c7dc52feaa5575b6acf890a473048e6e73e8ab30db200a0ab665fde0,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-026,Layer 10 package report,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/layer10/phase_00/IHARQ_Phase_0_Basic_Layer_10_Read_Only_Package_Report_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer10/phase_00/IHARQ_Phase_0_Basic_Layer_10_Read_Only_Package_Report_R2.md,Layer 10 package report,1f177dafa8a5051c5e65c1fbc58d3bd1cd656e9741f20861ac0f4831ffee31cb,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-027,Layer 10 views,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,docs/layer10/phase_00/views,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer10/phase_00/views,Layer 10 views,c06a77a89d79bef69b29ed9a70a7b580cd37ba76cbd5483366b5b3a698796efe,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-028,Layer 10 cards,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,docs/layer10/phase_00/cards,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer10/phase_00/cards,Layer 10 cards,34c6fc0704e5c0b4d6793c59068186441b4aef1dbe31b0ebff65f8214d8f0492,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-029,Layer 10 exports,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,reports/layer10/phase_00/exports,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/layer10/phase_00/exports,Layer 10 exports,318f1d28770904833c059adcb45c69f9816153461566561feb57214b462f655d,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-030,Reproduction/provenance guide,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/layer10/phase_00/IHARQ_Phase_0_Reproduction_and_Provenance_Guide_R1.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/layer10/phase_00/IHARQ_Phase_0_Reproduction_and_Provenance_Guide_R1.md,Reproduction/provenance guide,c2a65b192ba011c1f65a8d5c100c7c47c3a7509ea3103e22186bd32f9218f5e8,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-031,L0/EvidenceMap/L10 final audit,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/reports/phase_00/IHARQ_Phase_0_L0_EvidenceMap_L10_Final_Independent_Audit_Report_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/reports/phase_00/IHARQ_Phase_0_L0_EvidenceMap_L10_Final_Independent_Audit_Report_R2.md,L0/EvidenceMap/L10 final audit,e16794022634a439cd8f0029cd54db0362fcb33ec75a46424c1c62b24132bbe5,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-032,Independent source ledger,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/independent_source_intake_and_supersession_ledger.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/independent_source_intake_and_supersession_ledger.yaml,Independent source ledger,837cde39e85ec9b5c2287abae6ce5da9af8f7e3968b5c703ada7b037f0f25dd6,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-033,Independent requirement matrix,csv,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,csv,reports/phase_00_final_double_check/independent_phase_0_requirement_matrix.csv,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/independent_phase_0_requirement_matrix.csv,Independent requirement matrix,36f50b0482eeb2dbc9a356d5bbd5b4da0a84b17acada387638184c746c684126,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-034,Responsibility closure matrix,csv,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,csv,reports/phase_00_final_double_check/phase_0_responsibility_closure_matrix.csv,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/phase_0_responsibility_closure_matrix.csv,Responsibility closure matrix,95849483d80b388a093fb17966181f19f5fbf364076e9e3aa86e8484c814336b,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-035,L0-L10 responsibility matrix,csv,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,csv,reports/phase_00_final_double_check/phase_0_layer_responsibility_matrix.csv,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/phase_0_layer_responsibility_matrix.csv,L0-L10 responsibility matrix,2a429895921c7cc564866847b92e9efa780a70c0b663146f6ee3e84e77218c41,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-036,Expected output closure register,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/phase_0_expected_output_and_artifact_closure.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/phase_0_expected_output_and_artifact_closure.yaml,Expected output closure register,BOUND_BY_FINAL_SELF_EXCLUDING_PACKAGE_MANIFEST,present; nonempty; final bytes bound by self-excluding package manifest,CREATED_AND_VALIDATED,
OUT-037,A0-A13 readiness matrix,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/phase_0_ablation_readiness_manifest.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/phase_0_ablation_readiness_manifest.yaml,A0-A13 readiness matrix,453398279e044311bbf25762edb75b69bd1da7f611d717dec231c44bd8cedd0c,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-038,Analysis coverage audit,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/phase_0_ablation_analysis_report_coverage_audit.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/phase_0_ablation_analysis_report_coverage_audit.yaml,Analysis coverage audit,1b8485cfd138a0e61fdffc0d8a85ab5c027440bebdfe63d3f39388698639e3ad,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-039,Final current Markdown distribution,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,docs/phase_00/final_documents,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/phase_00/final_documents,Final current Markdown distribution,48ba761b7011aef5803c3b18b72a23f212bcd94e3c34f1eafdd5b35f12dff163,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-040,Independent closure report,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/reports/phase_00/IHARQ_Phase_0_Final_Whole_Stack_Independent_Double_Check_Report_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/reports/phase_00/IHARQ_Phase_0_Final_Whole_Stack_Independent_Double_Check_Report_R2.md,Independent closure report,a6cef633d77ec2f07dd6cf8f3fa34fb617c495e72dd25c195f90a74425bbf795,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-041,Independent Phase 1 handoff,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/handoffs/IHARQ_Phase_0_to_Phase_1_Independent_Double_Check_Handoff_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/handoffs/IHARQ_Phase_0_to_Phase_1_Independent_Double_Check_Handoff_R2.md,Independent Phase 1 handoff,fb3ba747c26b2bfd7556d9e87e3e04c3e8c860f8b5a094c751b9d9df88e83dc3,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-042,Machine-readable final handoff,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/final_double_check_handoff.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/final_double_check_handoff.yaml,Machine-readable final handoff,10576bba494d95b52add44adeb7f88286afb044e668a4b17e8551dbecc571ddf,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-043,Independent validator,python,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,python,scripts/run_phase0_final_independent_double_check.py,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,scripts/run_phase0_final_independent_double_check.py,Independent validator,df8f02cf16673b887be1d43f48f978ba4f1df17a7783f5cb0455367cedf35555,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-044,Independent validator tests,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,tests,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,tests,Independent validator tests,54460125635b24b132f51ba9e8eefbccc3c0b9265ccdf6cbb1b4f236fa9d6d3c,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-045,39-case adversarial fixtures,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,fixtures/invalid/final_double_check,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,fixtures/invalid/final_double_check,39-case adversarial fixtures,5af7c31a1dfabe7fe633445b3473294fc3e76ef4b1bba2423e567a17c413ac7b,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-046,Environment and clean reproduction report,json,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json,reports/phase_00_final_double_check/environment_and_clean_reproduction_report.json,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/environment_and_clean_reproduction_report.json,Environment and clean reproduction report,13c3e46c7542384defe949c2bdf2f9ab231e8e90196eb9872eb886a918d708c7,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-047,Security/integrity report,json,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json,reports/phase_00_final_double_check/security_integrity_package_audit.json,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/security_integrity_package_audit.json,Security/integrity report,59885e09353eb9fb556b419e805c98bc39b1a3cac5dd548b6f5b2216b31d84b6,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-048,Defect/repair/successor ledger,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/defect_repair_successor_invalidation_ledger.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/defect_repair_successor_invalidation_ledger.yaml,Defect/repair/successor ledger,5946fa9203b9bccabd92139f3c876420d62e9b5b870a3184f5183f6d458942a7,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-049,Independent P0-GATE-18 specification,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,reports/phase_00_final_double_check/independent_p0_gate_18.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_final_double_check/independent_p0_gate_18.yaml,Independent P0-GATE-18 specification,e0818af24f62b0f01b2b9e228f397ba86bda83798da5b63758de1d33228638ed,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-050,Final repository manifest,json,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json,manifests/phase0_final_independent_double_check_package_content_manifest_R2.json,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,manifests/phase0_final_independent_double_check_package_content_manifest_R2.json,Final repository manifest,BOUND_BY_FINAL_SELF_EXCLUDING_PACKAGE_MANIFEST,present; nonempty; final bytes bound by self-excluding package manifest,CREATED_AND_VALIDATED,
