comparison_id,dataset_id,role_id,alternative_condition,subject_id,matched_events,alternative_BACC,reference_BACC,paired_difference_BACC
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,57,45,0.6160714285714286,0.5476190476190476,0.06845238095238104
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,6,45,0.38095238095238093,0.43154761904761907,-0.05059523809523814
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,71,45,0.7588932806324111,0.6739130434782609,0.08498023715415026
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,93,45,0.8241106719367588,0.8448616600790514,-0.020750988142292592
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,98,45,0.4515810276679842,0.46936758893280633,-0.017786561264822143
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,107,45,0.45833333333333337,0.5535714285714286,-0.09523809523809523
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,27,45,0.4990118577075099,0.4990118577075099,0.0
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,39,45,0.5988142292490118,0.4209486166007905,0.17786561264822132
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,40,45,0.6339285714285714,0.5416666666666666,0.09226190476190477
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,47,45,0.5714285714285714,0.6398809523809523,-0.06845238095238093
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,48,45,0.5859683794466404,0.5859683794466404,0.0
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,57,45,0.6755952380952381,0.5476190476190476,0.12797619047619058
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,6,45,0.40773809523809523,0.43154761904761907,-0.023809523809523836
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,71,45,0.7806324110671936,0.6739130434782609,0.10671936758893275
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,93,45,0.8675889328063241,0.8448616600790514,0.022727272727272707
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C3-MULTI-PROB-AVG,98,45,0.4288537549407115,0.46936758893280633,-0.04051383399209485
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,107,45,0.5238095238095238,0.5476190476190477,-0.023809523809523836
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,27,45,0.5780632411067194,0.5533596837944664,0.024703557312252933
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,39,45,0.5385375494071146,0.5612648221343874,-0.022727272727272818
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,40,45,0.6636904761904762,0.6011904761904763,0.06249999999999989
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,47,45,0.48214285714285715,0.5327380952380952,-0.05059523809523808
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,48,45,0.8013833992094861,0.7579051383399209,0.04347826086956519
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,57,45,0.6696428571428572,0.6845238095238095,-0.014880952380952328
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,6,45,0.5803571428571428,0.5059523809523809,0.07440476190476186
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,71,45,0.6304347826086957,0.6086956521739131,0.021739130434782594
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,93,45,0.8675889328063241,0.8883399209486166,-0.02075098814229248
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C1-LONG-3P5S,98,45,0.6689723320158103,0.5563241106719368,0.11264822134387353
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,107,45,0.6428571428571428,0.5476190476190477,0.09523809523809512
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,27,45,0.5326086956521738,0.5533596837944664,-0.020750988142292592
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,39,45,0.4940711462450593,0.5612648221343874,-0.06719367588932812
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,40,45,0.6071428571428572,0.6011904761904763,0.005952380952380931
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,47,45,0.5178571428571429,0.5327380952380952,-0.014880952380952328
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,48,45,0.7559288537549407,0.7579051383399209,-0.0019762845849802257
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,57,45,0.7351190476190477,0.6845238095238095,0.05059523809523814
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,6,45,0.5386904761904762,0.5059523809523809,0.03273809523809523
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,71,45,0.5652173913043478,0.6086956521739131,-0.0434782608695653
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,93,45,0.8656126482213439,0.8883399209486166,-0.022727272727272707
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C2-MULTI-HARD-VOTE,98,45,0.5810276679841897,0.5563241106719368,0.024703557312252933
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,107,45,0.6190476190476191,0.5476190476190477,0.0714285714285714
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,27,45,0.5108695652173914,0.5533596837944664,-0.042490118577075076
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,39,45,0.4940711462450593,0.5612648221343874,-0.06719367588932812
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,40,45,0.7053571428571428,0.6011904761904763,0.10416666666666652
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,47,45,0.47619047619047616,0.5327380952380952,-0.05654761904761907
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,48,45,0.8003952569169961,0.7579051383399209,0.04249011857707519
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,57,45,0.7142857142857142,0.6845238095238095,0.029761904761904656
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,6,45,0.5416666666666666,0.5059523809523809,0.0357142857142857
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,71,45,0.5652173913043478,0.6086956521739131,-0.0434782608695653
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,93,45,0.8883399209486166,0.8883399209486166,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,A4-C3-MULTI-PROB-AVG,98,45,0.6017786561264822,0.5563241106719368,0.045454545454545414
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,107,45,0.6101190476190476,0.6041666666666666,0.005952380952380931
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,27,45,0.7114624505928854,0.5810276679841897,0.13043478260869568
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,39,45,0.4713438735177865,0.6047430830039526,-0.13339920948616613
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,40,45,0.8303571428571428,0.49404761904761907,0.3363095238095237
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,47,45,0.6547619047619048,0.5297619047619048,0.125
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,48,45,0.6946640316205533,0.8260869565217391,-0.1314229249011858
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,57,45,0.6875,0.5982142857142857,0.0892857142857143
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,6,45,0.6309523809523809,0.5625,0.06845238095238093
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,71,45,0.8013833992094861,0.8695652173913043,-0.06818181818181823
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,93,45,0.825098814229249,0.8873517786561265,-0.062252964426877444
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,98,45,0.6017786561264822,0.5088932806324111,0.09288537549407105
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,107,45,0.5892857142857143,0.6041666666666666,-0.014880952380952328
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,27,45,0.5158102766798419,0.5810276679841897,-0.06521739130434778
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,39,45,0.6067193675889329,0.6047430830039526,0.0019762845849802257
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,40,45,0.7410714285714286,0.49404761904761907,0.24702380952380953
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,47,45,0.5029761904761905,0.5297619047619048,-0.0267857142857143
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,48,45,0.7361660079051384,0.8260869565217391,-0.08992094861660072
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,57,45,0.6636904761904763,0.5982142857142857,0.06547619047619058
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,6,45,0.6220238095238095,0.5625,0.059523809523809534
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,71,45,0.8695652173913043,0.8695652173913043,0.0
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,93,45,0.9110671936758893,0.8873517786561265,0.02371541501976282
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,98,45,0.5286561264822134,0.5088932806324111,0.019762845849802257
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,107,45,0.5714285714285714,0.6041666666666666,-0.03273809523809523
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,27,45,0.5839920948616601,0.5810276679841897,0.0029644268774704496
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,39,45,0.5197628458498024,0.6047430830039526,-0.08498023715415026
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,40,45,0.8035714285714286,0.49404761904761907,0.30952380952380953
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,47,45,0.5238095238095238,0.5297619047619048,-0.005952380952380931
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,48,45,0.7806324110671936,0.8260869565217391,-0.045454545454545525
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,57,45,0.6904761904761905,0.5982142857142857,0.09226190476190477
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,6,45,0.6220238095238095,0.5625,0.059523809523809534
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,71,45,0.8241106719367588,0.8695652173913043,-0.045454545454545525
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,93,45,0.9328063241106719,0.8873517786561265,0.045454545454545414
P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,98,45,0.5286561264822134,0.5088932806324111,0.019762845849802257
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,107,45,0.5446428571428572,0.46726190476190477,0.07738095238095244
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,27,45,0.5790513833992095,0.6462450592885376,-0.06719367588932812
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,39,45,0.48616600790513836,0.5553359683794465,-0.06916996047430818
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,40,45,0.6398809523809523,0.5476190476190476,0.09226190476190477
