artifact_or_evidence_id,path,stage,ablation,condition,dataset,model,representation,budget,repeat,participant_scope,metrics,status,canonical_or_superseded,analysis_role,limitations,phase_analysis_location,size_bytes,sha256
a4_c4_c5_participant_comparisons.csv,runtime/analysis_inputs/a4_c4_c5_participant_comparisons.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,201170,0559b86009e53f7e859634edf065516c0344e9b7471a54a9c3d954b5e2db40e9
a4_burden_source.csv,runtime/analysis_inputs/a4_burden_source.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,301185,c56dc18edc73e0b606fd2f806fe39e40433b7fa30d1a95729f7ae7184f102406
low_label_curve_summary.json,runtime/analysis_inputs/low_label_curve_summary.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§7 Low-label,1661,4ab8f190fdf84ef956614cea458b35fcf2b5b10c4d415953a2b77683572924d7
low_label_metric_source.csv,runtime/analysis_inputs/low_label_metric_source.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§7 Low-label,28686,0123b1513da263b8c468024a1d28532d1fbc52e5faffb2bdc00e285b5213f901
subject_profile_summary.json,runtime/analysis_inputs/subject_profile_summary.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6.4 Participant heterogeneity,179,2b27818f56a4f9116c358eb21a509302506ca06bf7afce7dbd76d466e372f977
subject_profile_metric_source.csv,runtime/analysis_inputs/subject_profile_metric_source.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6.4 Participant heterogeneity,732426,6497ec474de6ba4750377af268ae79b0c13f25813006aa687505d3ee3d82fccd
session_profile_metric_source.csv,runtime/analysis_inputs/session_profile_metric_source.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6.4 Participant/session context,785609,28e6416ddf80967582d32f5f047ec3c1239a240b01aff7507754537269ea397a
failure_negative_summary.json,runtime/analysis_inputs/failure_negative_summary.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§12 Failures/negative,186,678b0675cc24a5ab264523909f1b25b23a545f7a7e5aaa4c93e0bac1d65850ae
figure_table_source_manifest.json,runtime/analysis_inputs/figure_table_source_manifest.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,Appendix/source traceability,191,4b6e51d6f47006a477655dc48f427762474536514d094d4973a347edeea51f0b
training_policy_challenger_completion.json,runtime/analysis_inputs/training_policy_challenger_completion.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,839,bdb5061233ec7a07abad1c16cdab9a2948dbe1b585845153618f31933a64abcd
training_policy_challenger_statistics.json,runtime/analysis_inputs/training_policy_challenger_statistics.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,1574,50c1c285493eeff60e1486cf324964e5b91a98e19ff00594bd4583e40af3ec0e
training_policy_challenger_participant_comparisons.jsonl,runtime/analysis_inputs/training_policy_challenger_participant_comparisons.jsonl,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,30402,9c8e2fb4587b62a6ce02f355acf75332a40d9e5e7174352b8a8c953460f4b0ee
training_policy_challenger_seed_comparisons.jsonl,runtime/analysis_inputs/training_policy_challenger_seed_comparisons.jsonl,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,14479,8bc89f18e36cab89b95d85c9b14c95b154bb4ee0276d5947eafa4e2bf021e590
training_policy_challenger_terminal_states.jsonl,runtime/analysis_inputs/training_policy_challenger_terminal_states.jsonl,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,3345,d48e48e21db9c0a61dc2b4b41b9bce9627b7ca4beff02a012cf50a7533e00a7a
training_policy_sr_probability_calibration_candidates.jsonl,runtime/analysis_inputs/training_policy_sr_probability_calibration_candidates.jsonl,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,59552,dc55adb57a81de640f401b2e422df768efb714d2b49ff9e1f4d41901cdb03d39
training_policy_sr_probability_selection.json,runtime/analysis_inputs/training_policy_sr_probability_selection.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2 / §11 training correction,6344,a9d885ba537c0213c95107bae09df161059a9645891cdfaf92e57478cc441ace
stage18_resource_constrained_anchor_budget_deviation.json,runtime/analysis_inputs/stage18_resource_constrained_anchor_budget_deviation.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10.2 resource deviation,3045,facc51d381f45ef9d924442b5190276d3ab723741ee34f60a686657aebde91f3
stage18S_balanced_sensitivity_R1_preexecution_freeze.json,runtime/analysis_inputs/stage18S_balanced_sensitivity_R1_preexecution_freeze.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,3095,79187cfab12fcdc18187aed259733024abd4093a1d8327017e976fa9272775b5
stage18S_R1_combined_cell_effects.csv,runtime/analysis_inputs/stage18S_R1_combined_cell_effects.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,69010,e612a630e027cf01b041b2f4b35eef8879d9e4b85edd4031ae9b4cc970c99f32
stage18S_R1_participant_paired_effects.csv,runtime/analysis_inputs/stage18S_R1_participant_paired_effects.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,161029,cc6d349bdb69b3dc89deb5c675e4c65e3d2f8ccbc5bc78282b2894baf9ae14bc
stage18S_R1_three_repeat_anchor_stability.csv,runtime/analysis_inputs/stage18S_R1_three_repeat_anchor_stability.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,13938,4490e4b1b24e53b2b4728487f54194b7608b4f3f4b6890c34f8b0edd27d0bce2
stage18S_R1_six_budget_mr00_sensitivity.csv,runtime/analysis_inputs/stage18S_R1_six_budget_mr00_sensitivity.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,4075,3c1ddee8a5d6bacf1577c37d6775eef509ea920d59e4f766aa9ac0a4d4558686
stage18S_R1_member_training_provenance.csv,runtime/analysis_inputs/stage18S_R1_member_training_provenance.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,38250,48af59807df7f3586e9eb614223df8efeccd2ea71aaafc0380d586c2a5831723
stage18S_R1_training_provenance_summary.csv,runtime/analysis_inputs/stage18S_R1_training_provenance_summary.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,273,4216d07d415122c968cf392432f5a8537acdd0cbeeffafe8418d4758d6a5714c
P02_PREEXECUTION_TRAINING_POLICY_AMENDMENT_R2.yaml,runtime/protocol_change_required/P02_PREEXECUTION_TRAINING_POLICY_AMENDMENT_R2.yaml,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§5.2/5.3 amendment history,5084,9c909274fe27f6290f4d72b3717d69ea3af7830e4a506df421f1ddf3021b8afe
stage18S_R1_sensitivity_evidence.json,runtime/handoffs/stage18S_R1_sensitivity_evidence.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§11 Stage18S,1021,c82185d89f47f2d1a2ae55f04c6c4053f057f89ef929faaabfbddfe24aef91fb
20_readiness.json,runtime/manifests/stage_artifacts/20_readiness.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§22 P03 readiness,1042,76acc5f8bad25c0caa4a07e9de9ee938e50944ee8f6cad3d703039f38d09c564
P02-L2-READINESS-P03.json,runtime/manifests/record_partitions/Layer2ReadinessReport/P02-L2-READINESS-P03.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§22 P03 readiness,850,449827c9a6d6ef31d191a9eebf66283ccdc7df7be8e40f7880786aa9b4179df9
stage11_source_centered_recipe.json,diagnostics/runtime_successor/stage11_maximum_analysis/stage11_source_centered_recipe.json,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,SUPPORTING_CURRENT_NOT_CANONICAL_ANALYSIS_INPUT,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,18048,c81b51d462789cd542624a1c5d112b25622bcd18229e9353065536e3b1603a3f
BNCI2014_001__DNN-FBCNET.json,diagnostics/stage12_R6_ABC_author_adaptive_R1/job_summaries/BNCI2014_001__DNN-FBCNET.json,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,SUPPORTING_CURRENT_NOT_CANONICAL_ANALYSIS_INPUT,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,1195,9b4c131b1ef02fdc7e21a1a062b9e38e5c921d301c7c68d908e3916a21786cb6
PhysioNetMI__DNN-FBCNET.json,diagnostics/stage12_R6_ABC_author_adaptive_R1/job_summaries/PhysioNetMI__DNN-FBCNET.json,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,SUPPORTING_CURRENT_NOT_CANONICAL_ANALYSIS_INPUT,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,1337,553f649c7917f54a257f829e9aac0b1ed576b19b193032766228930dddef9bf4
PhysioNetMI__DNN-SEQ.json,diagnostics/stage12_R6_ABC_author_adaptive_R1/job_summaries/PhysioNetMI__DNN-SEQ.json,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,SUPPORTING_CURRENT_NOT_CANONICAL_ANALYSIS_INPUT,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,1334,26b2c73bb3384f8addda73809b1436e97cf8d1a83e9eb5e1c834c019398e849b
PhysioNetMI__SSL-CBRAMOD.json,diagnostics/stage12_R6_ABC_author_adaptive_R1/job_summaries/PhysioNetMI__SSL-CBRAMOD.json,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,SUPPORTING_CURRENT_NOT_CANONICAL_ANALYSIS_INPUT,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,1353,b88becdeaa1e6a3dbee356c69586fc8c4fa3ce190a7ef5f7ed7384ad4155e23b
failures.jsonl,records/FailureCaseIndex/failures.jsonl,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CURRENT_RECORD_FAMILY,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,732300,e74fd834df16e7ece7c55b959af8fdd7f6627115bde5e6fe4e8e3cab9848e04c
negative_results.jsonl,records/NegativeResultNote/negative_results.jsonl,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CURRENT_RECORD_FAMILY,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,407911,89310883a40511e4fff866c5b4ba65b6de0b92c5b3c3bd16885c7bd98e67c9b6
diagnostics.jsonl,records/DiagnosticOnlyFlag/diagnostics.jsonl,11/12/19 as applicable,diagnostic/A0/A4 as applicable,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CURRENT_RECORD_FAMILY,material execution/diagnostic evidence used for exact historical/failure analysis,diagnostic evidence is non-claim-bearing where marked,§5 Stage11/12 or §12 failures,244638,d826e6d74a1af70b3c114699a7f39e686e4c42c5a7ea87aa9517b9bbad149886
