requirement_id,source_authority,scientific_question,expected_execution,expected_artifact,expected_evidence,expected_metric,expected_comparison,expected_analysis,expected_interpretation_role,present_in_execution,present_in_phase_analysis,analysis_depth,finalization_status
REQ-ARCH-M01,Architecture,Layer 2 official module 1: Baseline trainer,Build Book traceability row; gate G06; expected output checkpoints; training logs; model-registry inputs; branch terminal ledger,Build Book traceability row; gate G06; expected output checkpoints; training logs; model-registry inputs; branch terminal ledger,Build Book traceability row; gate G06; expected output checkpoints; training logs; model-registry inputs; branch terminal ledger,as applicable,governed matched/reference comparison,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M02,Architecture,Layer 2 official module 2: Prediction logger,Build Book traceability row; gate G06; expected output PredictionRecord; inference logs; score-availability ledger,Build Book traceability row; gate G06; expected output PredictionRecord; inference logs; score-availability ledger,Build Book traceability row; gate G06; expected output PredictionRecord; inference logs; score-availability ledger,as applicable,as applicable,§5.4 closure; §22 downstream substrate,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M03,Architecture,Layer 2 official module 3: Low-calibration curve builder,Build Book traceability row; gate G06; expected output LowCalibrationCurveRecord; curve source tables,Build Book traceability row; gate G06; expected output LowCalibrationCurveRecord; curve source tables,Build Book traceability row; gate G06; expected output LowCalibrationCurveRecord; curve source tables,as applicable,as applicable,§7 Low-Label/Budget,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M04,Architecture,Layer 2 official module 4: Subject difficulty profiler,Build Book traceability row; gate G06; expected output SubjectProfileRecord; descriptive source tables,Build Book traceability row; gate G06; expected output SubjectProfileRecord; descriptive source tables,Build Book traceability row; gate G06; expected output SubjectProfileRecord; descriptive source tables,as applicable,as applicable,§6.4 Participant heterogeneity,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M05,Architecture,Layer 2 official module 5: Model-family registry,Build Book traceability row; gate G06; expected output ModelRegistryRecord; checkpoint registry; model-card source bundle,Build Book traceability row; gate G06; expected output ModelRegistryRecord; checkpoint registry; model-card source bundle,Build Book traceability row; gate G06; expected output ModelRegistryRecord; checkpoint registry; model-card source bundle,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M06,Architecture,Layer 2 official module 6: Ensemble comparison builder,Build Book traceability row; gate G06; expected output EnsembleControlRecord; disagreement tables; A4 metrics; burden notes,Build Book traceability row; gate G06; expected output EnsembleControlRecord; disagreement tables; A4 metrics; burden notes,Build Book traceability row; gate G06; expected output EnsembleControlRecord; disagreement tables; A4 metrics; burden notes,as applicable,governed matched/reference comparison,§10 A4; §11 Stage18S,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M07,Architecture,Layer 2 official module 7: Compact SSL adapter,Build Book traceability row; gate G06; expected output PredictionRecord; ModelRegistryRecord; admission/failure evidence,Build Book traceability row; gate G06; expected output PredictionRecord; ModelRegistryRecord; admission/failure evidence,Build Book traceability row; gate G06; expected output PredictionRecord; ModelRegistryRecord; admission/failure evidence,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ARCH-M08,Architecture,Layer 2 official module 8: Downstream readiness validator,Build Book traceability row; gate G06; expected output Layer2ReadinessReport; compatibility matrix; handoff,Build Book traceability row; gate G06; expected output Layer2ReadinessReport; compatibility matrix; handoff,Build Book traceability row; gate G06; expected output Layer2ReadinessReport; compatibility matrix; handoff,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-01,Method Selection Register,SAN-MAJ: majority/frequency,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-02,Method Selection Register,SAN-STRAT: seeded stratified random,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-METHOD-03,Method Selection Register,SAN-PERM: grouped full-pipeline source-event label permutation,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-04,Method Selection Register,SAN-PRIOR: training-prior vector,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-05,Method Selection Register,DIAG-LOGVAR: log-bandpower/log-variance + L2 logistic,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-06,Method Selection Register,CLS-CSP-LDA: CSP + shrinkage LDA,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-07,Method Selection Register,CLS-FBCSP-LR: FBCSP + L2 logistic,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-08,Method Selection Register,RIE-TS-LR: shrinkage covariance -> tangent space -> L2 logistic,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-09,Method Selection Register,RIE-EA-TS: train-safe Euclidean Alignment + tangent/logistic,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-10,Method Selection Register,RIE-MDM: MDM/FgMDM,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-11,Method Selection Register,DNN-EEGNET: EEGNet,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-12,Method Selection Register,DNN-FBCNET: FBCNet,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-13,Method Selection Register,DNN-SEQ: DBConformer preferred; EEG Conformer direct fallback/matched comparator,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-14,Method Selection Register,DNN-EGTC: EEG-TCNet,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§2-5 context / applicable analytical section,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-15,Method Selection Register,SSL-CBRAMOD: CBraMod,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-METHOD-16,Method Selection Register,SSL-REVE: REVE,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,Build Book traceability row; gate G12; expected output ModelRegistryRecord + PredictionRecord or explicit terminal row,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ABL-A0,Experiment/Ablation/Evaluation Protocol + Architecture,A0: Raw Decoder / Accept-All Raw Decoder Reference,Build Book traceability row; gate G15; expected output A0 BaselineMetricRecord + source tables,Build Book traceability row; gate G15; expected output A0 BaselineMetricRecord + source tables,Build Book traceability row; gate G15; expected output A0 BaselineMetricRecord + source tables,as applicable,governed matched/reference comparison,§6 A0; §7 low-label; §9 models,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ABL-A1,Experiment/Ablation/Evaluation Protocol + Architecture,A1: Calibrated Decoder / Calibration Visibility,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A2,Experiment/Ablation/Evaluation Protocol + Architecture,A2: Simple Registered Threshold / Confidence-Threshold Baseline,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,governed matched/reference comparison,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A3,Experiment/Ablation/Evaluation Protocol + Architecture,A3: Uncertainty and Selective Prediction,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A4,Experiment/Ablation/Evaluation Protocol + Architecture,"A4: Longer-Window, Multi-Window Voting/Averaging and Ordinary Ensemble Controls",Build Book traceability row; gate G18; expected output EnsembleControlRecord + A4 source tables,Build Book traceability row; gate G18; expected output EnsembleControlRecord + A4 source tables,Build Book traceability row; gate G18; expected output EnsembleControlRecord + A4 source tables,as applicable,governed matched/reference comparison,§10 A4; §11 Stage18S,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ABL-A5,Experiment/Ablation/Evaluation Protocol + Architecture,A5: IHARQ-lite / Rule-Based Evidence Verification,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A6,Experiment/Ablation/Evaluation Protocol + Architecture,A6: IHARQ + Evidence-Quality Estimator,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A7,Experiment/Ablation/Evaluation Protocol + Architecture,A7: IHARQ + RegimeRisk Temporal Trust,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A8,Experiment/Ablation/Evaluation Protocol + Architecture,A8: Learning-to-defer / Deferral Comparison,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,governed matched/reference comparison,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A9,Experiment/Ablation/Evaluation Protocol + Architecture,A9: Supervised Adaptive-IHARQ / Adaptive Readiness Policy,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-ABL-A10,Experiment/Ablation/Evaluation Protocol + Architecture,A10: Contextual Bandit / Simulation-Bounded Immediate-Reward Adaptation,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A11,Experiment/Ablation/Evaluation Protocol + Architecture,A11: Reinforcement-Learning Policy / Simulation-Bounded Sequential Policy Learning,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A12,Experiment/Ablation/Evaluation Protocol + Architecture,A12: StressForge Stress Tests / Controlled Stress Robustness,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,governed matched/reference comparison,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A13,Experiment/Ablation/Evaluation Protocol + Architecture,A13: Layer 9 Simulation-Only Embodiment Demo,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,Build Book traceability row; gate G18U; expected output prepared downstream fields / NOT_AUTHORIZED row,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-ABL-A14,Experiment/Ablation/Evaluation Protocol + Architecture,A14: ABSENT / PROHIBITED,Build Book traceability row; gate G18U; expected output NO_POSITIVE_ARTIFACT; prohibition audit,Build Book traceability row; gate G18U; expected output NO_POSITIVE_ARTIFACT; prohibition audit,Build Book traceability row; gate G18U; expected output NO_POSITIVE_ARTIFACT; prohibition audit,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-REG-01,Canonical Registry,PredictionRecord,Build Book traceability row; gate G06; expected output PredictionRecord,Build Book traceability row; gate G06; expected output PredictionRecord,Build Book traceability row; gate G06; expected output PredictionRecord,as applicable,as applicable,§5.4 closure; §22 downstream substrate,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-02,Canonical Registry,ModelRegistryRecord,Build Book traceability row; gate G06; expected output ModelRegistryRecord,Build Book traceability row; gate G06; expected output ModelRegistryRecord,Build Book traceability row; gate G06; expected output ModelRegistryRecord,as applicable,as applicable,§4 Models; §6/§9 performance; §5 corrections,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-03,Canonical Registry,BaselineMetricRecord,Build Book traceability row; gate G06; expected output BaselineMetricRecord,Build Book traceability row; gate G06; expected output BaselineMetricRecord,Build Book traceability row; gate G06; expected output BaselineMetricRecord,governed metric per Protocol,governed matched/reference comparison,§6.3 statistics; §8 secondary metrics; §10 statistics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-04,Canonical Registry,LowCalibrationCurveRecord,Build Book traceability row; gate G06; expected output LowCalibrationCurveRecord,Build Book traceability row; gate G06; expected output LowCalibrationCurveRecord,Build Book traceability row; gate G06; expected output LowCalibrationCurveRecord,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-REG-05,Canonical Registry,SubjectProfileRecord,Build Book traceability row; gate G06; expected output SubjectProfileRecord,Build Book traceability row; gate G06; expected output SubjectProfileRecord,Build Book traceability row; gate G06; expected output SubjectProfileRecord,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-REG-06,Canonical Registry,EnsembleControlRecord,Build Book traceability row; gate G06; expected output EnsembleControlRecord,Build Book traceability row; gate G06; expected output EnsembleControlRecord,Build Book traceability row; gate G06; expected output EnsembleControlRecord,as applicable,governed matched/reference comparison,§10 A4; §11 Stage18S,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-07,Canonical Registry,FailureCaseIndex,Build Book traceability row; gate G06; expected output FailureCaseIndex,Build Book traceability row; gate G06; expected output FailureCaseIndex,Build Book traceability row; gate G06; expected output FailureCaseIndex,as applicable,as applicable,§12 Failures/negative/diagnostics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-08,Canonical Registry,Layer2ReadinessReport,Build Book traceability row; gate G06; expected output Layer2ReadinessReport,Build Book traceability row; gate G06; expected output Layer2ReadinessReport,Build Book traceability row; gate G06; expected output Layer2ReadinessReport,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-09,Canonical Registry,LeakageWarningRecord,Build Book traceability row; gate G06; expected output LeakageWarningRecord,Build Book traceability row; gate G06; expected output LeakageWarningRecord,Build Book traceability row; gate G06; expected output LeakageWarningRecord,as applicable,as applicable,§3 Data/Split/Evaluation context,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-10,Canonical Registry,MatchedComparisonReport,Build Book traceability row; gate G06; expected output MatchedComparisonReport,Build Book traceability row; gate G06; expected output MatchedComparisonReport,Build Book traceability row; gate G06; expected output MatchedComparisonReport,as applicable,governed matched/reference comparison,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-REG-11,Canonical Registry,NegativeResultNote,Build Book traceability row; gate G06; expected output NegativeResultNote,Build Book traceability row; gate G06; expected output NegativeResultNote,Build Book traceability row; gate G06; expected output NegativeResultNote,as applicable,as applicable,§12 Failures/negative/diagnostics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-REG-12,Canonical Registry,DiagnosticOnlyFlag,Build Book traceability row; gate G06; expected output DiagnosticOnlyFlag,Build Book traceability row; gate G06; expected output DiagnosticOnlyFlag,Build Book traceability row; gate G06; expected output DiagnosticOnlyFlag,as applicable,as applicable,§12 Failures/negative/diagnostics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
