record_type,stage_or_supplement_id,attempt_id,status,observability_status,purpose,runtime_successor_id,evidentiary_role,scientifically_analytical,evidence_produced,analysis_treatment,finalization_status
CANONICAL_STAGE,10,8e4ca693efde,SUCCESS,PASS,"Riemannian family execution (TS-LR, EA-TS, MDM diagnostic)",P02-RUNTIME-SUCCESSOR-R2-CANONICAL-LOW-CAL-BUDGET-ID-PARSER-LIVE-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5 execution evolution + §6/§9 scientific consequences,FULLY_ANALYZED
CANONICAL_STAGE,11,77533b224dad,SUCCESS,PASS,EEGNet neural family execution and training-policy amendment/challenger history,,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5.2 + §11 training correction,FULLY_ANALYZED
CANONICAL_STAGE,12,b9d3bbee230b,SUCCESS,PASS,conditional external/deep/foundation families and source-centered training recipes,P02-RUNTIME-SUCCESSOR-R6R5-STAGE12-FBCNET-AUTHOR-HORIZON-1500-200,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5.3 + §11 training correction,FULLY_ANALYZED
CANONICAL_STAGE,13,01b2fde44053,SUCCESS,PASS,checkpoint closure and round-trip validation,P02-RUNTIME-SUCCESSOR-R7H7-STAGE11-EEGNET-AUTHOR-CENTERED-10000E-TRUE-P120-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5 execution evolution + §6/§9 scientific consequences,FULLY_ANALYZED
CANONICAL_STAGE,14,6f67192684bf,SUCCESS,PASS,prediction/score-semantics closure,P02-RUNTIME-SUCCESSOR-R7H7-STAGE11-EEGNET-AUTHOR-CENTERED-10000E-TRUE-P120-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5 execution evolution + §6/§9 scientific consequences,FULLY_ANALYZED
CANONICAL_STAGE,15,0cedb7522386,SUCCESS,PASS,A0 and training-policy challenger analytical closure,P02-RUNTIME-SUCCESSOR-R7H7-STAGE11-EEGNET-AUTHOR-CENTERED-10000E-TRUE-P120-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§6 A0 statistics/closure,FULLY_ANALYZED
CANONICAL_STAGE,16,bb462cca110e,SUCCESS,PASS,low-label analytical materialization and inherited-budget identity repair,P02-RUNTIME-SUCCESSOR-R7H7-STAGE11-EEGNET-AUTHOR-CENTERED-10000E-TRUE-P120-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§7 Low-label,FULLY_ANALYZED
CANONICAL_STAGE,17,785dd4d86f13,SUCCESS,PASS,participant/session profile materialization,P02-RUNTIME-SUCCESSOR-R7H7-STAGE11-EEGNET-AUTHOR-CENTERED-10000E-TRUE-P120-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§6.4 participant context,FULLY_ANALYZED
CANONICAL_STAGE,18,a91f9d90814c,SUCCESS,PASS,A4 canonical resource-constrained execution and statistics,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§10 A4,FULLY_ANALYZED
CANONICAL_STAGE,18U,6c35912e38f7,SUCCESS,PASS,A4 unlock/authority-contract closure,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,19,243091602665,SUCCESS,PASS,"failure, negative-result, and diagnostic evidence aggregation",P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§12 failure/negative evidence,FULLY_ANALYZED
CANONICAL_STAGE,20,b5a19c3412a2,SUCCESS,PASS,Layer-2 readiness and P03 substrate decision,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§22 readiness,FULLY_ANALYZED
CANONICAL_STAGE,21,3d6646e74d1e,SUCCESS,PASS,figure/table source-family closure,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,22,6bad6ea9c5ff,SUCCESS,PASS,Protocol/Phase Analysis/Layer0/EvidenceMap/Layer10/P03 handoffs,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,23,0e3f7416ac5e,SUCCESS,PASS,evidence-sufficiency closure,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,24,5027e6f7359e,SUCCESS,PASS,final bundle/release and external-preservation finalization,P02-RUNTIME-SUCCESSOR-R10-STAGE18-A4-ANCHOR-BUDGET-SINGLE-REPEAT-R1,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
SUPPLEMENT,18S,,PASS,PASS,post-hoc balanced sensitivity supplement for repeat/budget stability diagnosis,,POST_HOC_DESCRIPTIVE_ONLY; canonical Stage18/G18 unchanged,True,see purpose / canonical stage artifacts,§11 Stage18S,FULLY_ANALYZED
