requirement_id,source_authority,source_section,P02_interpretation,Layer2_module,implementation_component,config,test,gate,output,downstream_consumer,status
REQ-ARCH-M01,Architecture,Layer 2 official module 1: Baseline trainer,Implement the official Baseline trainer responsibility in service of P02 without creating a ninth Architecture module.,L2-M01,src/iharq/layer2_decoders,modules/L2-M01.yaml,T-MOD-01,G06,checkpoints; training logs; model-registry inputs; branch terminal ledger,P03+/Analysis,MAPPED
REQ-ARCH-M02,Architecture,Layer 2 official module 2: Prediction logger,Implement the official Prediction logger responsibility in service of P02 without creating a ninth Architecture module.,L2-M02,src/iharq/layer2_decoders,modules/L2-M02.yaml,T-MOD-01,G06,PredictionRecord; inference logs; score-availability ledger,P03+/Analysis,MAPPED
REQ-ARCH-M03,Architecture,Layer 2 official module 3: Low-calibration curve builder,Implement the official Low-calibration curve builder responsibility in service of P02 without creating a ninth Architecture module.,L2-M03,src/iharq/layer2_decoders,modules/L2-M03.yaml,T-MOD-01,G06,LowCalibrationCurveRecord; curve source tables,P03+/Analysis,MAPPED
REQ-ARCH-M04,Architecture,Layer 2 official module 4: Subject difficulty profiler,Implement the official Subject difficulty profiler responsibility in service of P02 without creating a ninth Architecture module.,L2-M04,src/iharq/layer2_decoders,modules/L2-M04.yaml,T-MOD-01,G06,SubjectProfileRecord; descriptive source tables,P03+/Analysis,MAPPED
REQ-ARCH-M05,Architecture,Layer 2 official module 5: Model-family registry,Implement the official Model-family registry responsibility in service of P02 without creating a ninth Architecture module.,L2-M05,src/iharq/layer2_decoders,modules/L2-M05.yaml,T-MOD-01,G06,ModelRegistryRecord; checkpoint registry; model-card source bundle,P03+/Analysis,MAPPED
REQ-ARCH-M06,Architecture,Layer 2 official module 6: Ensemble comparison builder,Implement the official Ensemble comparison builder responsibility in service of P02 without creating a ninth Architecture module.,L2-M06,src/iharq/layer2_decoders,modules/L2-M06.yaml,T-MOD-01,G06,EnsembleControlRecord; disagreement tables; A4 metrics; burden notes,P03+/Analysis,MAPPED
REQ-ARCH-M07,Architecture,Layer 2 official module 7: Compact SSL adapter,Implement the official Compact SSL adapter responsibility in service of P02 without creating a ninth Architecture module.,L2-M07,src/iharq/layer2_decoders,modules/L2-M07.yaml,T-MOD-01,G06,PredictionRecord; ModelRegistryRecord; admission/failure evidence,P03+/Analysis,MAPPED
REQ-ARCH-M08,Architecture,Layer 2 official module 8: Downstream readiness validator,Implement the official Downstream readiness validator responsibility in service of P02 without creating a ninth Architecture module.,L2-M08,src/iharq/layer2_decoders,modules/L2-M08.yaml,T-MOD-01,G06,Layer2ReadinessReport; compatibility matrix; handoff,P03+/Analysis,MAPPED
REQ-METHOD-01,Method Selection Register,SAN-MAJ: majority/frequency,Preserve portfolio role REQUIRED; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/SAN-MAJ.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-02,Method Selection Register,SAN-STRAT: seeded stratified random,Preserve portfolio role REQUIRED; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/SAN-STRAT.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-03,Method Selection Register,SAN-PERM: grouped full-pipeline source-event label permutation,Preserve portfolio role REQUIRED_DIAGNOSTIC; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/SAN-PERM.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-04,Method Selection Register,SAN-PRIOR: training-prior vector,Preserve portfolio role DIAGNOSTIC_ONLY; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/SAN-PRIOR.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-05,Method Selection Register,DIAG-LOGVAR: log-bandpower/log-variance + L2 logistic,Preserve portfolio role DIAGNOSTIC_ONLY; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/DIAG-LOGVAR.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-06,Method Selection Register,CLS-CSP-LDA: CSP + shrinkage LDA,Preserve portfolio role SELECTED_MAXIMUM_SCOPE; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/CLS-CSP-LDA.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-07,Method Selection Register,CLS-FBCSP-LR: FBCSP + L2 logistic,Preserve portfolio role SELECTED_MAXIMUM_SCOPE; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/CLS-FBCSP-LR.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-08,Method Selection Register,RIE-TS-LR: shrinkage covariance -> tangent space -> L2 logistic,Preserve portfolio role SELECTED_MAXIMUM_SCOPE; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/RIE-TS-LR.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-09,Method Selection Register,RIE-EA-TS: train-safe Euclidean Alignment + tangent/logistic,Preserve portfolio role CONDITIONALLY_SELECTED; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/RIE-EA-TS.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-10,Method Selection Register,RIE-MDM: MDM/FgMDM,Preserve portfolio role DIAGNOSTIC_ONLY; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/RIE-MDM.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-11,Method Selection Register,DNN-EEGNET: EEGNet,Preserve portfolio role SELECTED_MAXIMUM_SCOPE; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/DNN-EEGNET.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-12,Method Selection Register,DNN-FBCNET: FBCNet,Preserve portfolio role CONDITIONALLY_SELECTED; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/DNN-FBCNET.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-13,Method Selection Register,DNN-SEQ: DBConformer preferred; EEG Conformer direct fallback/matched comparator,Preserve portfolio role CONDITIONALLY_SELECTED_ONE_FINAL_SLOT; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/DNN-SEQ.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-14,Method Selection Register,DNN-EGTC: EEG-TCNet,Preserve portfolio role SCREENED_LOW_RESOURCE_FALLBACK; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/DNN-EGTC.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-15,Method Selection Register,SSL-CBRAMOD: CBraMod,Preserve portfolio role CONDITIONALLY_SELECTED; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/SSL-CBRAMOD.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-METHOD-16,Method Selection Register,SSL-REVE: REVE,Preserve portfolio role DIAGNOSTIC_ONLY; apply admission gate before run and preserve failure/skip state.,M01/M05,model builder/admission + registry,models/SSL-REVE.yaml,T-MOD-01,G12,ModelRegistryRecord + PredictionRecord or explicit terminal row,A0/A4/P03,MAPPED
REQ-ABL-A0,Experiment/Ablation/Evaluation Protocol + Architecture,A0: Raw Decoder / Accept-All Raw Decoder Reference,P02 disposition=DIRECT_EXECUTE_P02; preserve owner=P03+ consumes immutable A0 and limitations.,M01/M02/M03/M04/M05,ablation/controller + source-field preparation,controls/ablations.yaml,T-MET-01,G15,A0 BaselineMetricRecord + source tables,P03+ consumes immutable A0,MAPPED
REQ-ABL-A1,Experiment/Ablation/Evaluation Protocol + Architecture,A1: Calibrated Decoder / Calibration Visibility,P02 disposition=DOWNSTREAM_LAYER3_NOT_P02; preserve owner=L3/P03 and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,L3/P03,MAPPED
REQ-ABL-A2,Experiment/Ablation/Evaluation Protocol + Architecture,A2: Simple Registered Threshold / Confidence-Threshold Baseline,P02 disposition=DOWNSTREAM_LAYER3_NOT_P02; preserve owner=L3/P03 and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,L3/P03,MAPPED
REQ-ABL-A3,Experiment/Ablation/Evaluation Protocol + Architecture,A3: Uncertainty and Selective Prediction,P02 disposition=DOWNSTREAM_LAYER3_NOT_P02; preserve owner=L3/P03 and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,L3/P03,MAPPED
REQ-ABL-A4,Experiment/Ablation/Evaluation Protocol + Architecture,"A4: Longer-Window, Multi-Window Voting/Averaging and Ordinary Ensemble Controls",P02 disposition=DIRECT_EXECUTE_P02; preserve owner=P03+ consumes ordinary control evidence and limitations.,M06,ablation/controller + source-field preparation,controls/ablations.yaml,T-A4-01,G18,EnsembleControlRecord + A4 source tables,P03+ consumes ordinary control evidence,MAPPED
REQ-ABL-A5,Experiment/Ablation/Evaluation Protocol + Architecture,A5: IHARQ-lite / Rule-Based Evidence Verification,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A6,Experiment/Ablation/Evaluation Protocol + Architecture,A6: IHARQ + Evidence-Quality Estimator,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A7,Experiment/Ablation/Evaluation Protocol + Architecture,A7: IHARQ + RegimeRisk Temporal Trust,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A8,Experiment/Ablation/Evaluation Protocol + Architecture,A8: Learning-to-defer / Deferral Comparison,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A9,Experiment/Ablation/Evaluation Protocol + Architecture,A9: Supervised Adaptive-IHARQ / Adaptive Readiness Policy,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A10,Experiment/Ablation/Evaluation Protocol + Architecture,A10: Contextual Bandit / Simulation-Bounded Immediate-Reward Adaptation,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A11,Experiment/Ablation/Evaluation Protocol + Architecture,A11: Reinforcement-Learning Policy / Simulation-Bounded Sequential Policy Learning,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A12,Experiment/Ablation/Evaluation Protocol + Architecture,A12: StressForge Stress Tests / Controlled Stress Robustness,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A13,Experiment/Ablation/Evaluation Protocol + Architecture,A13: Layer 9 Simulation-Only Embodiment Demo,P02 disposition=DOWNSTREAM_PREPARE_FIELDS_ONLY; preserve owner=later governed owner and limitations.,source-producing L2 modules only,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,prepared downstream fields / NOT_AUTHORIZED row,later governed owner,MAPPED
REQ-ABL-A14,Experiment/Ablation/Evaluation Protocol + Architecture,A14: ABSENT / PROHIBITED,P02 disposition=ABSENT_PROHIBITED; preserve owner=NONE and limitations.,none,ablation/controller + source-field preparation,controls/ablations.yaml,T-ABL-01,G18U,NO_POSITIVE_ARTIFACT; prohibition audit,NONE,MAPPED
REQ-REG-01,Canonical Registry,PredictionRecord,"Produce/use PredictionRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",Prediction logger,record builder + validator,schemas/p02/*.json,T-REC-01,G06,PredictionRecord,L3-L10,MAPPED
REQ-REG-02,Canonical Registry,ModelRegistryRecord,"Produce/use ModelRegistryRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",Model-family registry,record builder + validator,schemas/p02/*.json,T-REC-01,G06,ModelRegistryRecord,L3-L10/repro,MAPPED
REQ-REG-03,Canonical Registry,BaselineMetricRecord,"Produce/use BaselineMetricRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",evaluation path,record builder + validator,schemas/p02/*.json,T-REC-01,G06,BaselineMetricRecord,Analysis/L10/L0,MAPPED
REQ-REG-04,Canonical Registry,LowCalibrationCurveRecord,"Produce/use LowCalibrationCurveRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",Low-calibration curve builder,record builder + validator,schemas/p02/*.json,T-REC-01,G06,LowCalibrationCurveRecord,Analysis/L10,MAPPED
REQ-REG-05,Canonical Registry,SubjectProfileRecord,"Produce/use SubjectProfileRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",Subject difficulty profiler,record builder + validator,schemas/p02/*.json,T-REC-01,G06,SubjectProfileRecord,L5/L6/L8/L10 as allowed,MAPPED
REQ-REG-06,Canonical Registry,EnsembleControlRecord,"Produce/use EnsembleControlRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",Ensemble comparison builder,record builder + validator,schemas/p02/*.json,T-REC-01,G06,EnsembleControlRecord,L3/L4/L10/evaluation,MAPPED
REQ-REG-07,Canonical Registry,FailureCaseIndex,"Produce/use FailureCaseIndex only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",cross-cutting failure index,record builder + validator,schemas/p02/*.json,T-REC-01,G06,FailureCaseIndex,Analysis/L10/L0,MAPPED
REQ-REG-08,Canonical Registry,Layer2ReadinessReport,"Produce/use Layer2ReadinessReport only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",Downstream readiness validator,record builder + validator,schemas/p02/*.json,T-REC-01,G06,Layer2ReadinessReport,P03+ and release gate,MAPPED
REQ-REG-09,Canonical Registry,LeakageWarningRecord,"Produce/use LeakageWarningRecord only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",validation path,record builder + validator,schemas/p02/*.json,T-REC-01,G06,LeakageWarningRecord,all affected claims/consumers,MAPPED
REQ-REG-10,Canonical Registry,MatchedComparisonReport,"Produce/use MatchedComparisonReport only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",evaluation/export adapter,record builder + validator,schemas/p02/*.json,T-REC-01,G06,MatchedComparisonReport,Protocol/L10/L0,MAPPED
REQ-REG-11,Canonical Registry,NegativeResultNote,"Produce/use NegativeResultNote only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",evaluation governance,record builder + validator,schemas/p02/*.json,T-REC-01,G06,NegativeResultNote,Analysis/L10/L0,MAPPED
REQ-REG-12,Canonical Registry,DiagnosticOnlyFlag,"Produce/use DiagnosticOnlyFlag only under Registry ownership; create P02 physical successor profile where current physical schema is P00-locked/missing, never mutate predecessor.",evaluation/validation,record builder + validator,schemas/p02/*.json,T-REC-01,G06,DiagnosticOnlyFlag,all,MAPPED
REQ-IN-01,P01 handoff,DatasetRecord,Consume exactly 3 governed DatasetRecords and their licenses/provenance.,M01/M08,input adapter,data.yaml,T-REC-01,G04,validated DatasetRecord refs,all,MAPPED
REQ-IN-02,P01 handoff,WindowRecord,"Consume exactly 12,910 official core windows, 0 invalid; retain event lineage.",M01/M02,window loader,data.yaml,T-REC-01,G04,validated WindowRecord refs,models/predictions,MAPPED
REQ-IN-03,P01 handoff,SplitRecord,Use P01 subject-grouped split 102/35/17/18; no resplitting.,M01/M08,split firewall,split_visibility.yaml,T-LEAK-01,G04,split validation,all,MAPPED
REQ-IN-04,P01 handoff,PreprocessingRecord,"Reuse frozen preprocessing; model-local transforms are train-fitted successors, not P01 mutation.",M01,data adapter,data.yaml,T-LEAK-01,G04,preprocessing lineage,models,MAPPED
REQ-IN-05,P01 handoff,LabelMapRecord,Preserve binary left/right MI label/class order semantics.,M02/M05,label-map validator,data.yaml,T-SCORE-01,G04,class-order binding,P03+,MAPPED
REQ-IN-06,P01 handoff,low-label budget profile,Use exact nested 1/2/4/8/16/32-per-class calibration-role membership; no validation/test borrowing.,M03,budget loader,budgets.yaml,T-BUD-01,G16,LowCalibrationCurveRecord,Analysis,MAPPED
REQ-IN-07,P01 A4 R2,matched A4 substrate,Use +0.0..+3.5 s 560@160 Hz and slices 0:320/120:440/240:560 on 12910/12910 parents; no reconstruction.,M06,A4 loader/matcher,controls/a4.yaml,T-A4-01,G18,A4 matched control evidence,Analysis/L10,MAPPED
REQ-EVAL-01,Method Selection + Protocol,test-set firewall,Final-test labels never fit/select/admit/checkpoint/unlock/ensemble.,all,split visibility enforcement,split_visibility.yaml,T-LEAK-01,G07,leakage validation,all,MAPPED
REQ-EVAL-02,Method Selection + Protocol,hierarchical seed lineage,Derive purpose-specific seeds from master 20260804 and semantic run identity; no outcome-selected seeds.,M01/M05,seed service,seeds.yaml,T-SEED-01,G05,seed lineage,reproduction,MAPPED
REQ-EVAL-03,Method Selection + Protocol,bounded hyperparameter selection,Use bounded family-specific compact search with common successful-evaluation/compute accounting; exact numeric caps bound pre-run by Protocol.,M01/M05,search controller,models/*.yaml,T-MOD-01,G05,attempt ledger + selected checkpoint,Analysis,MAPPED
REQ-EVAL-04,Method Selection + Protocol,checkpoint selection,Checkpoint selection uses lawful validation/inner roles only and passes clean reload equivalence.,M01/M05,checkpoint manager,models/*.yaml,T-CHK-01,G13,checkpoint manifest,P03/reproduction,MAPPED
REQ-EVAL-05,Protocol,metric dictionary,Compute only authority-defined baseline metrics with explicit denominators/class order/undefined behavior.,M02/M03/M04,metric engine,metrics.yaml,T-MET-01,G15,BaselineMetricRecord/source tables,Analysis/L10,MAPPED
REQ-EVAL-06,Protocol,statistical plan,Do not choose interval/test/multiplicity/repeat settings from observed P02 results; bind exact owner values before official results.,M03/M04/M06,statistics source-table builder,statistics.yaml,T-MET-01,G05,primitive paired/stat source tables,Protocol/Analysis,MAPPED
REQ-EVAL-07,Protocol,matched comparison,Paired A0/A4 comparisons require exact dataset/subject/session/event/split/window/budget/seed/model/config/metric keys; unmatched cases remain diagnostic.,M03/M06,matcher,controls.yaml,T-A4-01,G18,MatchedComparison source/report,Analysis,MAPPED
REQ-EVAL-08,Nuts-and-Bolts,score/class semantics,"Record native score/logit/probability type, binary positive class, class order and missing-score behavior; never synthesize fake probabilities.",M02/M05,prediction serializer,outputs.yaml,T-SCORE-01,G14,PredictionRecord,P03+,MAPPED
REQ-PLAY-01,Phase Execution Playbook,14-step P02 execution,"Map every Playbook step to deterministic notebook stage(s), outputs and gates.",all,notebook orchestrator,p02_notebook_stage_plan.yaml,T-BUNDLE-01,G24,stage ledger,all,MAPPED
REQ-NB-01,P02 master prompt,preflight and config freeze,Stages 00-07 validate authorities/environment/ZIP/pointers/P01 contract/config/schemas/smoke before scientific stages.,M08/all,preflight controller,phase.yaml,T-READY-01,G07,preflight gate pack,P02,MAPPED
REQ-NB-02,P02 master prompt,A0 stage,Stage15 executes raw baseline metrics/comparisons after immutable PredictionRecords exist.,M02/M03/M04/M05,A0 evaluator,metrics.yaml,T-MET-01,G15,A0 evidence,Analysis,MAPPED
REQ-NB-03,P02 master prompt,A4 stage,Stage18 executes longer/multi-window/fixed ordinary ensemble controls on matched parents.,M06,A4 controller,controls/a4.yaml,T-A4-01,G18,A4 evidence,Analysis/L10,MAPPED
REQ-NB-04,Governance + user ablation rule,fully-unlocked ablation same-notebook executor,Stage18U executes only pre-frozen authority-approved additional P02-owned ablations; no second notebook/mode and no outcome-dependent additions.,owner-mapped,ablation dispatcher,p02_ablation_unlock_matrix.yaml,T-ABL-01,G18U,additional ablation evidence/NOT_AUTHORIZED rows,Protocol/Analysis/L0/EMap/L10,MAPPED
REQ-NB-05,Execution/Evidence Plan,failure/negative accounting,Stage19 retains planned/attempted/success/failed/skipped/resource/license/incompatible/unmatched states and denominators.,all,failure index,outputs.yaml,T-FAIL-01,G19,FailureCaseIndex + negative results,Analysis/L0/L10,MAPPED
REQ-NB-06,Execution/Evidence Plan + Layer10 contract,figure/table source data,Stage21 exports primitive governed figure/table source datasets rather than recomputing hidden science downstream.,M02/M03/M04/M06,source-table builders,outputs.yaml,T-BUNDLE-01,G21,figure/table source bundle,Layer10,MAPPED
REQ-HAND-01,Playbook,Protocol v1 handoff,"Export actual run matrix, bindings, amendments, environment, A0/A4/unlocked ablation evidence and failures.",M08,handoff builder,handoff.yaml,T-READY-01,G22,Protocol handoff,Protocol v1.0,MAPPED
REQ-HAND-02,Playbook,Phase Analysis handoff,"Export complete attempted-run ledger, primitive metrics/stats sources, denominators, negatives and limitations.",M08,handoff builder,handoff.yaml,T-READY-01,G22,Analysis handoff,Phase Analysis,MAPPED
REQ-HAND-03,Playbook,Layer 0/Evidence Map handoff,Export candidate claim boundaries and exact run/record/artifact/limitation links; no claim approval in P02.,M08,handoff builder,handoff.yaml,T-READY-01,G22,L0/EMap handoff,Layer0/EMap,MAPPED
REQ-HAND-04,Playbook,P03 handoff,Provide consumer-specific readiness with model/prediction/score/class/checkpoint/budget/split/config/seed/A0/A4/failure evidence.,M08,readiness + handoff,handoff.yaml,T-READY-01,G20,Layer2ReadinessReport + P03 handoff,P03,MAPPED
REQ-BUNDLE-01,Execution/Evidence Plan,final bundle integrity,Stage24 emits manifest/checksums/path-safety/secret scan/required-output inventory; large bytes pointer-governed.,all,release builder,outputs.yaml,T-BUNDLE-01,G24,immutable P02 bundle,reproduction,MAPPED
REQ-SEC-01,Governance/Nuts-and-Bolts,secret-safe export,No credentials/session URLs in repository/bundle; external private artifacts referenced only by safe pointer/checksum/license metadata.,all,security scanner,outputs.yaml,T-BUNDLE-01,G24,secret-scan report,release,MAPPED
