claim_id,origin_phase,disposition,reviewed_text,claim_ceiling,layer10_eligibility
P02-CLM-009/v1,P02,APPROVED_WITH_QUALIFICATIONS,Post-hoc Stage18S sensitivity evidence shows that A4 effect direction can change across descriptive repeats and budgets (22/45 anchor trajectories mixed-sign; all 15 six-budget MR00 trajectories changed sign at least once). This supports the existing claim ceiling but remains POST_HOC/DESCRIPTIVE/SENSITIVITY evidence and does not modify canonical Stage18/G18.,POST_HOC_ONLY,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-010/v1,P02,APPROVED_WITH_QUALIFICATIONS,"P02 provides a fail-closed, provenance-rich Layer-2 evidence substrate for downstream use while preserving successful and non-success outcomes, including 648 FailureCaseIndex records, 340 NegativeResultNotes and 309 DiagnosticOnlyFlags. This is technical evidence readiness, not deployment readiness or future-phase scientific success.",SUPPORTED,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-001/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"Through P02, IHARQ has a governed evidence chain linking validated foundation contracts, the frozen P01 provenance-traceable EEG substrate, and P02 Layer-2 decoder evidence through explicit identities, manifests and handoffs; this traceability does not by itself establish clinical or deployment effectiveness.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-002/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"The P02 decoder analyses consume the frozen P01 subject-grouped, denominator-conserving binary motor-imagery data contract rather than a P02-local redefinition of labels, split or core windows, subject to the scope of the implemented registered integrity and leakage checks.",SUPPORTED,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-003/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"Across the three governed P02 datasets, decoder-family ordering is context-dependent rather than universally ordered, and participant heterogeneity on the multi-participant datasets limits any global winner claim; BNCI2014_001 is descriptive at the participant-inference level because its held-out P02 test set contains one participant.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-004/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"The deterministic low-label populations prepared in P01 expose difficult, non-monotonic and rank-changing P02 behavior across the governed 1-32 labels/class surface; one frozen subset per budget prevents a stable repeated-subset sample-efficiency claim.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-005/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"P01 resolved A4 data-feasibility by freezing a fully matched R2 substrate. Under P02’s accepted constrained A4 execution, no generic C1-C3 statistically detected improvement was observed, and post-hoc Stage18S further shows repeat/budget sign sensitivity. These results do not establish zero effect, five-repeat stability, dense-budget behavior, or full original-grid equivalence.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-006/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"The P02 correction history shows that apparent model viability under the implemented configurations depended on training-policy choice while the inherited P00/P01 data and identity foundations remained unchanged; this supports a reproduction/optimization-sensitivity interpretation, not universal architecture superiority or guaranteed gains from source-aligned settings.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-007/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"Across P00-P02, fail-closed validation and explicit retention of failures, supersessions, null/negative results and diagnostic states provide an auditable project history in which non-success evidence remains available for interpretation; this process does not guarantee scientific correctness or deployment safety.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
CUM-CLM-008/v1,CUMULATIVE_P00_P02,APPROVED_WITH_QUALIFICATIONS,"At the end of P02, canonical Layer-2 evidence is technically ready for governed downstream consumption, including P03, while explicit scope, repeat/stability, access and non-clinical limitations remain mandatory handoff constraints; this does not imply future-phase scientific success.",SUPPORTED,ELIGIBLE_WITH_QUALIFICATION
